project,access,agent,timestamp,views
de.wikipedia.org,desktop,automated,2020-10-28,1105286
de.wikipedia.org,desktop,automated,2020-10-29,1058840
de.wikipedia.org,desktop,automated,2020-10-30,924032
de.wikipedia.org,desktop,automated,2020-10-31,739542
de.wikipedia.org,desktop,automated,2020-11-01,639519
de.wikipedia.org,desktop,automated,2020-11-02,894316
de.wikipedia.org,desktop,automated,2020-11-03,1418370
de.wikipedia.org,desktop,automated,2020-11-04,1507865
de.wikipedia.org,desktop,automated,2020-11-05,1414492
de.wikipedia.org,desktop,automated,2020-11-06,1649131
de.wikipedia.org,desktop,automated,2020-11-07,1425399
de.wikipedia.org,desktop,automated,2020-11-08,1260494
de.wikipedia.org,desktop,automated,2020-11-09,1143854
de.wikipedia.org,desktop,automated,2020-11-10,1080662
de.wikipedia.org,desktop,automated,2020-11-11,1118002
de.wikipedia.org,desktop,automated,2020-11-12,916171
de.wikipedia.org,desktop,automated,2020-11-13,968572
de.wikipedia.org,desktop,automated,2020-11-14,713315
de.wikipedia.org,desktop,automated,2020-11-15,726744
de.wikipedia.org,desktop,automated,2020-11-16,1153305
de.wikipedia.org,desktop,automated,2020-11-17,1451838
de.wikipedia.org,desktop,automated,2020-11-18,2342203
de.wikipedia.org,desktop,automated,2020-11-19,1304431
de.wikipedia.org,desktop,automated,2020-11-20,959676
de.wikipedia.org,desktop,automated,2020-11-21,1328214
de.wikipedia.org,desktop,automated,2020-11-22,1477429
de.wikipedia.org,desktop,automated,2020-11-23,1425838
de.wikipedia.org,desktop,automated,2020-11-24,1465827
de.wikipedia.org,desktop,automated,2020-11-25,1331259
de.wikipedia.org,desktop,automated,2020-11-26,1292617
de.wikipedia.org,desktop,automated,2020-11-27,1589132
de.wikipedia.org,desktop,automated,2020-11-28,714149
de.wikipedia.org,desktop,automated,2020-11-29,690923
de.wikipedia.org,desktop,automated,2020-11-30,1066860
de.wikipedia.org,desktop,automated,2020-12-01,1039104
de.wikipedia.org,desktop,automated,2020-12-02,1112209
de.wikipedia.org,desktop,automated,2020-12-03,1448412
de.wikipedia.org,desktop,automated,2020-12-04,1358322
de.wikipedia.org,desktop,automated,2020-12-05,924311
de.wikipedia.org,desktop,automated,2020-12-06,690819
de.wikipedia.org,desktop,automated,2020-12-07,1414118
de.wikipedia.org,desktop,automated,2020-12-08,1177399
de.wikipedia.org,desktop,automated,2020-12-09,1092453
de.wikipedia.org,desktop,automated,2020-12-10,1101787
de.wikipedia.org,desktop,automated,2020-12-11,1859482
de.wikipedia.org,desktop,automated,2020-12-12,950767
de.wikipedia.org,desktop,automated,2020-12-13,719233
de.wikipedia.org,desktop,automated,2020-12-14,1313878
de.wikipedia.org,desktop,automated,2020-12-15,1163317
de.wikipedia.org,desktop,automated,2020-12-16,1207601
de.wikipedia.org,desktop,automated,2020-12-17,933897
de.wikipedia.org,desktop,automated,2020-12-18,961073
de.wikipedia.org,desktop,automated,2020-12-19,1027447
de.wikipedia.org,desktop,automated,2020-12-20,1092864
de.wikipedia.org,desktop,automated,2020-12-21,1678250
de.wikipedia.org,desktop,automated,2020-12-22,919692
de.wikipedia.org,desktop,automated,2020-12-23,2194670
de.wikipedia.org,desktop,automated,2020-12-24,2456394
de.wikipedia.org,desktop,automated,2020-12-25,1518397
de.wikipedia.org,desktop,automated,2020-12-26,990502
de.wikipedia.org,desktop,automated,2020-12-27,776294
de.wikipedia.org,desktop,automated,2020-12-28,758672
de.wikipedia.org,desktop,automated,2020-12-29,846759
de.wikipedia.org,desktop,automated,2020-12-30,947425
