project,activity_level,year,month,country,editors
de.wikipedia.org,100..-edits,2019,04,DE,1000
de.wikipedia.org,100..-edits,2019,04,AT,70
de.wikipedia.org,100..-edits,2019,04,CH,60
de.wikipedia.org,100..-edits,2019,04,AR,10
de.wikipedia.org,100..-edits,2019,04,AU,10
de.wikipedia.org,100..-edits,2019,04,CO,10
de.wikipedia.org,100..-edits,2019,04,CY,10
de.wikipedia.org,100..-edits,2019,04,CZ,10
de.wikipedia.org,100..-edits,2019,04,DO,10
de.wikipedia.org,100..-edits,2019,04,ES,10
de.wikipedia.org,100..-edits,2019,04,FI,10
de.wikipedia.org,100..-edits,2019,04,FR,10
de.wikipedia.org,100..-edits,2019,04,GB,10
de.wikipedia.org,100..-edits,2019,04,GP,10
de.wikipedia.org,100..-edits,2019,04,ID,10
de.wikipedia.org,100..-edits,2019,04,IT,10
de.wikipedia.org,100..-edits,2019,04,LT,10
de.wikipedia.org,100..-edits,2019,04,LV,10
de.wikipedia.org,100..-edits,2019,04,NA,10
de.wikipedia.org,100..-edits,2019,04,NL,10
de.wikipedia.org,100..-edits,2019,04,PH,10
de.wikipedia.org,100..-edits,2019,04,PL,10
de.wikipedia.org,100..-edits,2019,04,RO,10
de.wikipedia.org,100..-edits,2019,04,SE,10
de.wikipedia.org,100..-edits,2019,04,US,10
de.wikipedia.org,100..-edits,2019,05,DE,990
de.wikipedia.org,100..-edits,2019,05,AT,90
de.wikipedia.org,100..-edits,2019,05,CH,60
de.wikipedia.org,100..-edits,2019,05,AR,10
de.wikipedia.org,100..-edits,2019,05,AU,10
de.wikipedia.org,100..-edits,2019,05,BE,10
de.wikipedia.org,100..-edits,2019,05,BG,10
de.wikipedia.org,100..-edits,2019,05,CO,10
de.wikipedia.org,100..-edits,2019,05,CZ,10
de.wikipedia.org,100..-edits,2019,05,ES,10
de.wikipedia.org,100..-edits,2019,05,FR,10
de.wikipedia.org,100..-edits,2019,05,GB,10
de.wikipedia.org,100..-edits,2019,05,GP,10
de.wikipedia.org,100..-edits,2019,05,GR,10
de.wikipedia.org,100..-edits,2019,05,IT,10
de.wikipedia.org,100..-edits,2019,05,LT,10
de.wikipedia.org,100..-edits,2019,05,LV,10
de.wikipedia.org,100..-edits,2019,05,NA,10
de.wikipedia.org,100..-edits,2019,05,NL,10
de.wikipedia.org,100..-edits,2019,05,NO,10
de.wikipedia.org,100..-edits,2019,05,PL,10
de.wikipedia.org,100..-edits,2019,05,RO,10
de.wikipedia.org,100..-edits,2019,05,SE,10
de.wikipedia.org,100..-edits,2019,05,SK,10
de.wikipedia.org,100..-edits,2019,05,US,10
de.wikipedia.org,100..-edits,2019,06,DE,930
de.wikipedia.org,100..-edits,2019,06,AT,80
de.wikipedia.org,100..-edits,2019,06,CH,60
de.wikipedia.org,100..-edits,2019,06,AR,10
de.wikipedia.org,100..-edits,2019,06,AU,10
de.wikipedia.org,100..-edits,2019,06,CO,10
de.wikipedia.org,100..-edits,2019,06,ES,10
de.wikipedia.org,100..-edits,2019,06,FR,10
de.wikipedia.org,100..-edits,2019,06,GB,10
de.wikipedia.org,100..-edits,2019,06,GP,10
de.wikipedia.org,100..-edits,2019,06,GR,10
de.wikipedia.org,100..-edits,2019,06,IS,10
de.wikipedia.org,100..-edits,2019,06,IT,10
de.wikipedia.org,100..-edits,2019,06,LT,10
de.wikipedia.org,100..-edits,2019,06,LV,10
de.wikipedia.org,100..-edits,2019,06,NA,10
de.wikipedia.org,100..-edits,2019,06,NL,10
de.wikipedia.org,100..-edits,2019,06,PH,10
de.wikipedia.org,100..-edits,2019,06,PL,10
de.wikipedia.org,100..-edits,2019,06,SE,10
de.wikipedia.org,100..-edits,2019,06,US,10
de.wikipedia.org,100..-edits,2019,07,DE,920
de.wikipedia.org,100..-edits,2019,07,AT,60
de.wikipedia.org,100..-edits,2019,07,CH,60
de.wikipedia.org,100..-edits,2019,07,AU,10
de.wikipedia.org,100..-edits,2019,07,BE,10
de.wikipedia.org,100..-edits,2019,07,BG,10
de.wikipedia.org,100..-edits,2019,07,CZ,10
de.wikipedia.org,100..-edits,2019,07,ES,10
de.wikipedia.org,100..-edits,2019,07,FR,10
de.wikipedia.org,100..-edits,2019,07,GB,10
de.wikipedia.org,100..-edits,2019,07,GP,10
de.wikipedia.org,100..-edits,2019,07,GR,10
de.wikipedia.org,100..-edits,2019,07,IT,10
de.wikipedia.org,100..-edits,2019,07,LI,10
de.wikipedia.org,100..-edits,2019,07,LT,10
de.wikipedia.org,100..-edits,2019,07,NA,10
de.wikipedia.org,100..-edits,2019,07,NL,10
de.wikipedia.org,100..-edits,2019,07,PL,10
de.wikipedia.org,100..-edits,2019,07,SE,10
de.wikipedia.org,100..-edits,2019,07,TN,10
de.wikipedia.org,100..-edits,2019,07,US,10
de.wikipedia.org,100..-edits,2019,08,DE,950
de.wikipedia.org,100..-edits,2019,08,AT,70
de.wikipedia.org,100..-edits,2019,08,CH,60
de.wikipedia.org,100..-edits,2019,08,US,20
de.wikipedia.org,100..-edits,2019,08,AU,10
de.wikipedia.org,100..-edits,2019,08,CA,10
de.wikipedia.org,100..-edits,2019,08,CO,10
de.wikipedia.org,100..-edits,2019,08,CZ,10
de.wikipedia.org,100..-edits,2019,08,DK,10
de.wikipedia.org,100..-edits,2019,08,ES,10
de.wikipedia.org,100..-edits,2019,08,FR,10
de.wikipedia.org,100..-edits,2019,08,GB,10
de.wikipedia.org,100..-edits,2019,08,GN,10
de.wikipedia.org,100..-edits,2019,08,GP,10
de.wikipedia.org,100..-edits,2019,08,HU,10
de.wikipedia.org,100..-edits,2019,08,ID,10
de.wikipedia.org,100..-edits,2019,08,IT,10
de.wikipedia.org,100..-edits,2019,08,LT,10
de.wikipedia.org,100..-edits,2019,08,NA,10
de.wikipedia.org,100..-edits,2019,08,NL,10
de.wikipedia.org,100..-edits,2019,08,PL,10
de.wikipedia.org,100..-edits,2019,08,RO,10
de.wikipedia.org,100..-edits,2019,08,RS,10
de.wikipedia.org,100..-edits,2019,08,SE,10
de.wikipedia.org,100..-edits,2019,08,TN,10
de.wikipedia.org,100..-edits,2019,09,DE,950
de.wikipedia.org,100..-edits,2019,09,AT,80
de.wikipedia.org,100..-edits,2019,09,CH,60
de.wikipedia.org,100..-edits,2019,09,AU,10
de.wikipedia.org,100..-edits,2019,09,BE,10
de.wikipedia.org,100..-edits,2019,09,CA,10
de.wikipedia.org,100..-edits,2019,09,CO,10
de.wikipedia.org,100..-edits,2019,09,CZ,10
de.wikipedia.org,100..-edits,2019,09,DK,10
de.wikipedia.org,100..-edits,2019,09,ES,10
de.wikipedia.org,100..-edits,2019,09,FR,10
de.wikipedia.org,100..-edits,2019,09,GR,10
de.wikipedia.org,100..-edits,2019,09,HN,10
de.wikipedia.org,100..-edits,2019,09,HU,10
de.wikipedia.org,100..-edits,2019,09,IT,10
de.wikipedia.org,100..-edits,2019,09,LT,10
de.wikipedia.org,100..-edits,2019,09,NA,10
de.wikipedia.org,100..-edits,2019,09,NL,10
de.wikipedia.org,100..-edits,2019,09,PH,10
de.wikipedia.org,100..-edits,2019,09,PL,10
de.wikipedia.org,100..-edits,2019,09,PS,10
de.wikipedia.org,100..-edits,2019,09,SE,10
de.wikipedia.org,100..-edits,2019,09,SV,10
de.wikipedia.org,100..-edits,2019,09,TN,10
de.wikipedia.org,100..-edits,2019,09,UA,10
de.wikipedia.org,100..-edits,2019,09,US,10
de.wikipedia.org,100..-edits,2019,10,DE,1000
de.wikipedia.org,100..-edits,2019,10,AT,80
de.wikipedia.org,100..-edits,2019,10,CH,60
de.wikipedia.org,100..-edits,2019,10,AU,10
de.wikipedia.org,100..-edits,2019,10,BE,10
de.wikipedia.org,100..-edits,2019,10,CL,10
de.wikipedia.org,100..-edits,2019,10,CZ,10
de.wikipedia.org,100..-edits,2019,10,DK,10
de.wikipedia.org,100..-edits,2019,10,ES,10
